file_name,time_ms,channel,cluster,peak_amplitude,waveform_length
010.csv,266837.15,57,-1,0.0160327653468372,3.5
010.csv,266837.8,57,-1,0.0166656376631598,3.5
010.csv,266838.95,57,-1,0.0180720205883209,3.5
010.csv,266839.5,57,-1,0.0158921270543211,3.5
010.csv,266840.05,57,-1,0.015751488761805,3.5
010.csv,266840.65,57,-1,0.0160327653468372,3.5
010.csv,266841.2,57,-1,0.0175094674182565,3.5
010.csv,266841.85,57,-1,0.0177204248570306,3.5
010.csv,266842.4,57,-1,0.0172281908332242,3.5
010.csv,266842.95,57,-1,0.0175797865645145,3.5
010.csv,266843.6,57,-1,0.0197596800985143,3.5
010.csv,266844.35,57,-1,0.0156108504692889,3.5
010.csv,266844.9,57,-1,0.0161030844930953,3.5
010.csv,266845.45,57,-1,0.0180017014420629,3.5
010.csv,266846.0,57,-1,0.0175797865645145,3.5
010.csv,266846.55,57,-1,0.0175797865645145,3.5
010.csv,266847.25,57,-1,0.0184939354658693,3.5
010.csv,266847.8,57,-1,0.0187752120509015,3.5
010.csv,266848.5,57,-1,0.0156811696155469,3.5
010.csv,266849.15,57,-1,0.0151889355917405,3.5
010.csv,266849.7,57,-1,0.0163140419318695,3.5
010.csv,266850.25,57,-1,0.0175094674182565,3.5
010.csv,266850.85,57,-1,0.0166656376631598,3.5
010.csv,266851.45,57,-1,0.0163843610781275,3.5
010.csv,266852.0,57,-1,0.0184236163196112,3.5
010.csv,266852.55,57,-1,0.01701723339445,3.5
010.csv,266853.25,57,-1,0.0179313822958048,3.5
010.csv,266854.05,57,-1,0.0168765951019339,3.5
010.csv,266854.6,57,-1,0.0153998930305147,3.5
010.csv,266855.15,57,-1,0.0159624462005792,3.5
010.csv,266855.7,57,-1,0.0168765951019339,3.5
010.csv,266856.25,57,-1,0.0177204248570306,3.5
010.csv,266856.8,57,-1,0.0183532971733531,3.5
010.csv,266857.35,57,-1,0.0168062759556759,3.5
010.csv,266857.9,57,-1,0.0151186164454825,3.5
010.csv,266858.45,57,-1,0.0247523394828364,3.5
010.csv,266859.0,57,-1,0.0198299992447724,3.5
010.csv,266859.55,57,-1,0.0201112758298046,3.5
010.csv,266860.1,57,-1,0.021798935339998,3.5
010.csv,266860.65,57,-1,0.0263696798467718,3.5
010.csv,266861.2,57,-1,0.0218692544862561,3.5
010.csv,266861.75,57,-1,0.02426010545903,3.5
010.csv,266862.3,57,-1,0.0245413820440623,3.5
010.csv,266862.85,57,-1,0.0209551055849013,3.5
010.csv,266863.4,57,-1,0.023064679972643,3.5
010.csv,266863.95,57,-1,0.026650956431804,3.5
010.csv,266864.5,57,-1,0.024189786312772,3.5
010.csv,266865.05,57,-1,0.0235569139964494,3.5
010.csv,266865.6,57,-1,0.0282682967957393,3.5
010.csv,266866.15,57,-1,0.0210254247311594,3.5
010.csv,266866.7,57,-1,0.0248226586290945,3.5
010.csv,266867.25,57,-1,0.0226427650950947,3.5
010.csv,266867.8,57,-1,0.0196893609522562,3.5
010.csv,266868.35,57,-1,0.0187752120509015,3.5
010.csv,266868.9,57,-1,0.020603509853611,3.5
010.csv,266869.45,57,-1,0.0243304246052881,3.5
010.csv,266870.0,57,-1,0.0225724459488366,3.5
010.csv,266870.55,57,-1,0.0225021268025786,3.5
010.csv,266871.1,57,-1,0.01701723339445,3.5
010.csv,266871.65,57,-1,0.0201815949760627,3.5
010.csv,266872.2,57,-1,0.0213770204624496,3.5
010.csv,266872.75,57,-1,0.0199706375372885,3.5
010.csv,266873.3,57,-1,0.0210254247311594,3.5
010.csv,266873.85,57,-1,0.0213770204624496,3.5
010.csv,266874.4,57,-1,0.0177907440032887,3.5
010.csv,266874.95,57,-1,0.0184939354658693,3.5
